j(o|u)(bb|pp)ik	FIDESZ
fi(d|ty)(e|o)sz	JOBBIK
(zs|sz)idók	magyarok
(zs|sz)idó	magyar
4chan 	egy másik oldal
puruttya	puturkov
aztadom	velemenyvezer
azpara	mandiner
9(g|k)(a|e)(g|k)	Wall Street Journal
magyarország	Izrael
(f(a|e|é)(ce|g|il|sz)b(u|ú|oo)k	iWiW
f(a|á)cse|arckönyv	iwiw
tumbl(r|ár|i|er)(\.com)?	hipster.hu
(tf|team fortress|teamfortress)2	CS:S
minecraft	infiniminer
terraria	dwarf fortress más szögből
fur(ry)?	ferences-rendi
n(a|á)(c)?(z)?(i|y)	kommunista
(sed|szedit|sed+t+h+)	princess celestia
(dr)? na(g|t)yfi ri(ch|ts)(aá)*(rd|i)	princess celestia
na(g|t)yfi	princess celestia
ri(ch|ts)(aá)*(rd|i)	princess celestia
lonket istván	princess celestia
b(a|á)nyamesters(e|é)g	én titkos végtelebányász guild
(like|lájk)	rák
